                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.47871,                0.47311,                 1.0092,                0.83187,                0.85142,                0.91971,                0.77612,                0.68283,                0.81989,                 1.2017,              0.0066034,              0.0066034,              0.0066034
                     36,                 0.4771,                 0.4627,                0.97908,                0.87559,                0.82161,                0.92485,                0.79091,                0.62009,                0.74908,                 1.1158,              0.0065035,              0.0065035,              0.0065035
                     37,                0.46238,                0.46365,                0.97456,                0.88917,                0.88099,                0.93312,                0.81881,                0.57726,                0.69171,                 1.0824,              0.0064036,              0.0064036,              0.0064036
                     38,                 0.4543,                0.44157,                0.97789,                0.85871,                0.84951,                0.93685,                0.81774,                0.59259,                0.68883,                 1.1125,              0.0063037,              0.0063037,              0.0063037
                     39,                 0.4507,                0.44026,                0.97429,                0.74142,                0.80589,                0.87711,                0.75836,                0.63098,                0.86276,                 1.1495,              0.0062038,              0.0062038,              0.0062038
                     40,                 0.4319,                0.42019,                0.95674,                0.85988,                0.85706,                 0.9347,                0.82688,                0.60319,                0.67527,                 1.1087,              0.0061039,              0.0061039,              0.0061039
                     41,                0.43512,                0.41418,                0.95383,                0.84974,                0.86201,                0.92866,                 0.8194,                0.59894,                0.73275,                 1.1317,               0.006004,               0.006004,               0.006004
                     42,                0.42919,                0.41659,                0.96619,                0.88126,                0.85718,                0.94281,                0.81716,                 0.5924,                 0.6629,                   1.11,              0.0059041,              0.0059041,              0.0059041
                     43,                0.42638,                0.42647,                0.94491,                0.86865,                0.82157,                0.92392,                0.80168,                0.59494,                0.70207,                 1.1096,              0.0058042,              0.0058042,              0.0058042
                     44,                0.43796,                0.41662,                0.96588,                0.85231,                0.82924,                0.91203,                0.79158,                  0.589,                0.69057,                 1.1034,              0.0057043,              0.0057043,              0.0057043
                     45,                0.44513,                0.45582,                0.98106,                 0.8722,                0.86609,                0.93795,                 0.8145,                0.59733,                0.68501,                 1.1059,              0.0056044,              0.0056044,              0.0056044
                     46,                0.41711,                0.40731,                0.95521,                 0.9027,                0.82907,                0.92064,                0.80731,                 0.5887,                0.67364,                 1.0856,              0.0055045,              0.0055045,              0.0055045
                     47,                0.40902,                0.41091,                0.96073,                  0.875,                0.84944,                0.93758,                0.82411,                0.60923,                0.64537,                 1.1092,              0.0054046,              0.0054046,              0.0054046
                     48,                0.40319,                0.39346,                0.94444,                0.89286,                0.88923,                0.94508,                0.84135,                0.58152,                0.59503,                 1.0818,              0.0053047,              0.0053047,              0.0053047
                     49,                0.39787,                0.39113,                0.93342,                0.91749,                0.87276,                0.95278,                0.83463,                0.58034,                0.58425,                 1.0996,              0.0052048,              0.0052048,              0.0052048
                     50,                0.39946,                0.40176,                0.93147,                0.89441,                 0.9019,                0.95955,                0.85036,                0.55769,                0.58041,                 1.0784,              0.0051049,              0.0051049,              0.0051049
                     51,                0.39043,                0.37838,                0.94084,                0.90629,                0.87345,                0.94188,                0.83652,                 0.5771,                0.62148,                 1.1082,               0.005005,               0.005005,               0.005005
