                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.91897,                 1.6354,                 1.2632,                0.55137,                0.65928,                0.72904,                0.59717,                0.85849,                  1.344,                 1.3656,              0.0067033,              0.0067033,              0.0067033
                     35,                0.91747,                 1.6667,                 1.2663,                0.62404,                0.61237,                0.66634,                0.51872,                0.96923,                 1.5617,                 1.4616,              0.0066034,              0.0066034,              0.0066034
                     36,                0.88722,                 1.6497,                 1.2313,                0.53497,                0.66247,                0.65675,                 0.5124,                 1.0576,                 1.5876,                 1.5307,              0.0065035,              0.0065035,              0.0065035
                     37,                0.89558,                 1.6019,                 1.2591,                0.58597,                0.66127,                0.69477,                0.54435,                0.91122,                 1.4524,                  1.437,              0.0064036,              0.0064036,              0.0064036
                     38,                 0.8753,                 1.5399,                 1.2514,                0.53764,                0.70535,                0.73711,                0.59937,                0.86692,                 1.3163,                 1.4261,              0.0063037,              0.0063037,              0.0063037
                     39,                0.87344,                 1.5994,                 1.2293,                0.60661,                0.57955,                0.67631,                0.53015,                0.92487,                 1.5598,                 1.4248,              0.0062038,              0.0062038,              0.0062038
                     40,                0.93543,                 1.5822,                 1.2617,                0.58891,                0.71777,                0.75632,                0.62345,                0.81455,                   1.39,                 1.3394,              0.0061039,              0.0061039,              0.0061039
                     41,                0.84338,                 1.5074,                 1.2096,                  0.596,                0.71126,                0.73475,                0.57451,                0.89682,                 1.2717,                 1.4107,               0.006004,               0.006004,               0.006004
                     42,                0.88677,                 1.5364,                 1.2301,                0.62911,                0.71015,                0.72836,                0.59379,                0.83312,                 1.3557,                 1.3831,              0.0059041,              0.0059041,              0.0059041
                     43,                0.86758,                 1.4572,                 1.2404,                0.77584,                0.65046,                0.77382,                0.62296,                0.83533,                 1.2584,                 1.3596,              0.0058042,              0.0058042,              0.0058042
                     44,                0.86331,                 1.4267,                 1.2132,                0.61823,                0.69388,                 0.7613,                0.63182,                 0.8473,                 1.2752,                 1.4034,              0.0057043,              0.0057043,              0.0057043
                     45,                0.83827,                 1.4825,                 1.2056,                0.63282,                   0.74,                 0.7953,                0.65159,                0.82185,                  1.319,                 1.3206,              0.0056044,              0.0056044,              0.0056044
                     46,                0.86925,                  1.519,                 1.2162,                0.80126,                0.70509,                0.84193,                  0.694,                0.75151,                 1.0313,                 1.2741,              0.0055045,              0.0055045,              0.0055045
                     47,                0.86202,                 1.4474,                 1.2142,                0.66296,                 0.7953,                0.83189,                0.68771,                0.76975,                 1.1074,                  1.276,              0.0054046,              0.0054046,              0.0054046
                     48,                0.86592,                 1.4297,                 1.2325,                0.71617,                0.66438,                0.80236,                0.66158,                0.77115,                 1.1714,                 1.2865,              0.0053047,              0.0053047,              0.0053047
                     49,                0.83253,                 1.4225,                 1.1948,                0.65015,                0.79217,                0.81823,                0.65522,                0.78504,                  1.034,                 1.2888,              0.0052048,              0.0052048,              0.0052048
                     50,                 0.8002,                 1.3075,                 1.1863,                0.66748,                0.79742,                0.84211,                0.69738,                0.77127,                 1.0969,                 1.2694,              0.0051049,              0.0051049,              0.0051049
                     51,                0.80727,                 1.4226,                 1.1649,                0.76954,                0.69526,                0.83643,                0.70564,                0.74122,                 1.0793,                   1.26,               0.005005,               0.005005,               0.005005
                     52,                0.78613,                 1.3425,                 1.1742,                0.82138,                0.66644,                0.81433,                0.66865,                0.79066,                 1.1125,                 1.3344,              0.0049051,              0.0049051,              0.0049051
                     53,                0.75468,                 1.3189,                 1.1693,                0.69368,                0.80772,                0.82969,                0.68158,                0.74895,                 1.0768,                 1.2772,              0.0048052,              0.0048052,              0.0048052
                     54,                0.75339,                 1.2852,                 1.1582,                 0.7343,                0.77955,                0.85062,                0.73145,                0.69043,                 1.0099,                 1.2005,              0.0047053,              0.0047053,              0.0047053
                     55,                0.77272,                 1.3076,                 1.1704,                0.76058,                 0.7778,                0.87309,                0.73402,                0.72838,                 0.9524,                 1.2529,              0.0046054,              0.0046054,              0.0046054
                     56,                0.77632,                 1.3265,                 1.1581,                0.73005,                0.75402,                0.84147,                0.69914,                0.73646,                0.99081,                  1.268,              0.0045055,              0.0045055,              0.0045055
                     57,                0.76948,                 1.2807,                  1.157,                 0.7921,                0.72875,                0.85151,                0.70866,                0.72089,                 1.1232,                 1.2423,              0.0044056,              0.0044056,              0.0044056
                     58,                0.76154,                 1.2481,                 1.1552,                0.76804,                0.82516,                0.89364,                0.74006,                0.74123,                0.95138,                 1.2568,              0.0043057,              0.0043057,              0.0043057
                     59,                0.73829,                 1.2072,                 1.1432,                0.73332,                0.84079,                0.90847,                0.74729,                0.72077,                0.87919,                   1.24,              0.0042058,              0.0042058,              0.0042058
                     60,                0.78814,                 1.2334,                 1.1702,                 0.7433,                0.85159,                 0.8978,                0.75362,                 0.6923,                0.88727,                 1.2293,              0.0041059,              0.0041059,              0.0041059
                     61,                0.74809,                 1.2063,                 1.1523,                0.92227,                0.69904,                0.88552,                0.74312,                0.71214,                 0.9012,                 1.2233,               0.004006,               0.004006,               0.004006
                     62,                0.76536,                 1.1768,                 1.1593,                0.75992,                 0.7754,                0.87053,                0.72105,                 0.7227,                0.90561,                 1.2417,              0.0039061,              0.0039061,              0.0039061
                     63,                0.75315,                 1.1981,                 1.1345,                  0.779,                 0.7597,                0.84337,                 0.7255,                0.68368,                 1.0109,                 1.2168,              0.0038062,              0.0038062,              0.0038062
                     64,                0.76676,                 1.1931,                 1.1644,                0.70819,                0.72174,                0.83624,                0.70691,                0.69866,                 1.1011,                 1.2299,              0.0037063,              0.0037063,              0.0037063
                     65,                0.74882,                 1.1657,                 1.1524,                0.73471,                0.85079,                0.88965,                0.76182,                0.64492,                0.92541,                 1.1885,              0.0036064,              0.0036064,              0.0036064
                     66,                0.72967,                 1.1293,                 1.1424,                0.85562,                0.82759,                0.91506,                0.78058,                0.67019,                0.77485,                 1.1823,              0.0035065,              0.0035065,              0.0035065
                     67,                0.71444,                 1.1177,                 1.1234,                0.78997,                0.75626,                0.88753,                0.75454,                0.67012,                 0.9074,                 1.1975,              0.0034066,              0.0034066,              0.0034066
                     68,                0.70649,                   1.09,                 1.1279,                0.78133,                   0.88,                0.89879,                0.76986,                 0.6576,                0.82337,                 1.1897,              0.0033067,              0.0033067,              0.0033067
                     69,                0.74126,                 1.1445,                  1.156,                0.79979,                0.80901,                0.89981,                 0.7663,                0.67517,                0.82347,                 1.1957,              0.0032068,              0.0032068,              0.0032068
                     70,                0.69788,                 1.0716,                 1.1218,                0.83058,                0.79734,                0.88847,                0.74606,                0.69231,                  0.917,                 1.1913,              0.0031069,              0.0031069,              0.0031069
                     71,                0.69609,                 1.0985,                 1.1136,                0.82214,                 0.7966,                0.91164,                0.76969,                 0.6571,                0.84454,                 1.1907,               0.003007,               0.003007,               0.003007
                     72,                0.66853,                 1.0948,                 1.1044,                0.79077,                0.86991,                0.92633,                0.79367,                0.68413,                0.81539,                 1.2144,              0.0029071,              0.0029071,              0.0029071
                     73,                0.68569,                 1.0792,                 1.1217,                0.72008,                0.85018,                0.90387,                0.78252,                0.67334,                0.91544,                 1.1917,              0.0028072,              0.0028072,              0.0028072
                     74,                0.69113,                 1.0837,                 1.1207,                 0.8698,                0.85353,                0.93086,                0.80567,                0.62818,                0.72675,                 1.1612,              0.0027073,              0.0027073,              0.0027073
                     75,                0.65964,                 1.0419,                 1.1113,                0.86669,                0.80394,                0.92334,                0.80246,                0.62904,                0.86246,                 1.1722,              0.0026074,              0.0026074,              0.0026074
                     76,                0.68183,                 1.0535,                 1.1158,                0.83322,                0.90135,                0.95008,                0.80943,                0.63157,                 0.7682,                 1.1562,              0.0025075,              0.0025075,              0.0025075
                     77,                0.68712,                 1.0476,                  1.122,                0.85486,                0.87435,                0.94101,                0.81592,                0.60571,                 0.7387,                 1.1544,              0.0024076,              0.0024076,              0.0024076
                     78,                 0.6495,                 1.0446,                 1.1017,                0.88449,                0.80822,                0.91808,                0.78983,                0.66118,                0.77583,                 1.1699,              0.0023077,              0.0023077,              0.0023077
                     79,                0.67203,                   1.02,                 1.1135,                0.88449,                0.80667,                0.94049,                0.81641,                0.61235,                0.72777,                 1.1377,              0.0022078,              0.0022078,              0.0022078
                     80,                0.65423,                 1.0163,                 1.0986,                 0.8321,                0.90201,                0.95185,                0.82408,                 0.6218,                0.71266,                 1.1641,              0.0021079,              0.0021079,              0.0021079
                     81,                0.61445,                 0.9464,                 1.0786,                0.85156,                0.88546,                0.93158,                0.80689,                0.60659,                0.76099,                 1.1419,               0.002008,               0.002008,               0.002008
                     82,                0.62987,                0.95158,                 1.0864,                0.87546,                0.86288,                0.94793,                0.81301,                 0.6313,                0.68728,                 1.1595,              0.0019081,              0.0019081,              0.0019081
                     83,                0.63906,                0.96065,                 1.0907,                0.84906,                0.87582,                0.94559,                0.82822,                0.58648,                0.67633,                 1.1247,              0.0018082,              0.0018082,              0.0018082
                     84,                0.63352,                0.93032,                 1.0934,                0.81329,                0.91225,                0.94601,                0.82419,                0.59887,                0.71845,                 1.1349,              0.0017083,              0.0017083,              0.0017083
                     85,                 0.6561,                0.98569,                 1.1079,                0.84832,                 0.8955,                 0.9404,                0.81658,                0.61752,                0.74238,                 1.1537,              0.0016084,              0.0016084,              0.0016084
                     86,                0.58545,                0.91432,                 1.0538,                0.90715,                0.90526,                0.94988,                0.82994,                0.60199,                0.66236,                 1.1314,              0.0015085,              0.0015085,              0.0015085
                     87,                0.59683,                0.93451,                 1.0604,                0.82156,                0.88133,                 0.9283,                0.81344,                0.59375,                0.67254,                 1.1316,              0.0014086,              0.0014086,              0.0014086
                     88,                0.60035,                0.90195,                 1.0794,                0.87335,                0.87075,                0.93563,                0.81921,                0.58054,                0.68365,                 1.1135,              0.0013087,              0.0013087,              0.0013087
                     89,                0.59885,                0.89719,                 1.0658,                0.86305,                0.85722,                0.93021,                0.82321,                0.56916,                0.66457,                 1.1075,              0.0012088,              0.0012088,              0.0012088
                     90,                0.47597,                0.53916,                 1.0506,                0.88552,                0.85534,                0.94916,                0.81582,                0.62327,                0.72294,                 1.1203,              0.0011089,              0.0011089,              0.0011089
                     91,                0.45741,                0.48823,                 1.0036,                0.83197,                0.87938,                 0.9393,                 0.8106,                0.58945,                0.68281,                 1.1075,               0.001009,               0.001009,               0.001009
                     92,                0.42747,                0.45824,                   1.01,                0.87383,                0.90675,                0.96582,                0.84744,                0.56616,                0.62728,                  1.103,              0.0009091,              0.0009091,              0.0009091
                     93,                0.42088,                0.45634,                 1.0019,                0.88685,                0.90466,                0.96381,                0.84992,                0.56157,                0.62217,                 1.0939,              0.0008092,              0.0008092,              0.0008092
                     94,                0.41521,                0.43861,                0.97658,                0.90655,                0.90862,                0.96404,                0.84564,                 0.5448,                 0.5888,                 1.0887,              0.0007093,              0.0007093,              0.0007093
                     95,                0.40383,                0.42521,                0.98272,                0.90574,                0.90198,                0.95939,                0.84835,                0.54907,                0.61089,                 1.0836,              0.0006094,              0.0006094,              0.0006094
                     96,                0.39284,                0.42533,                0.95552,                0.91449,                0.90516,                0.95971,                0.85241,                0.54237,                0.59223,                 1.0766,              0.0005095,              0.0005095,              0.0005095
                     97,                0.39186,                0.40875,                  0.973,                0.92789,                0.89731,                0.96026,                0.85644,                0.53288,                0.57915,                 1.0756,              0.0004096,              0.0004096,              0.0004096
                     98,                0.39564,                0.41686,                0.98279,                0.90819,                0.89313,                0.95755,                0.85643,                0.53227,                0.58308,                 1.0653,              0.0003097,              0.0003097,              0.0003097
                     99,                 0.3927,                0.39962,                0.97952,                0.91198,                0.89508,                0.95951,                  0.858,                0.53464,                0.57943,                 1.0702,              0.0002098,              0.0002098,              0.0002098
