                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.4657,                 4.0485,                  2.982,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.2598,                 6.0822,                 4.2722,              0.0067033,              0.0067033,              0.0067033
                     35,                  2.471,                 4.0526,                 3.0054,                  8e-05,                0.02885,                  9e-05,                  3e-05,                  3.334,                 6.4897,                  4.332,              0.0066034,              0.0066034,              0.0066034
                     36,                 2.5091,                 4.0304,                  3.015,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.3237,                 7.0679,                 4.3082,              0.0065035,              0.0065035,              0.0065035
                     37,                 2.4438,                 3.9877,                 2.9979,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.3815,                 7.0238,                 4.3728,              0.0064036,              0.0064036,              0.0064036
                     38,                 2.4645,                 4.0454,                 3.0256,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.1844,                 6.1586,                 4.4483,              0.0063037,              0.0063037,              0.0063037
                     39,                 2.4144,                 4.0144,                 2.9897,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.2615,                 5.7499,                 4.3216,              0.0062038,              0.0062038,              0.0062038
                     40,                 2.5008,                 3.9922,                  3.013,                  8e-05,                0.02885,                  9e-05,                  3e-05,                 3.2334,                 6.2863,                 4.3247,              0.0061039,              0.0061039,              0.0061039
                     41,                 2.4233,                 3.9502,                 2.9714,                  9e-05,                0.03846,                0.00014,                  4e-05,                 3.3895,                 23.154,                 4.2659,               0.006004,               0.006004,               0.006004
                     42,                 2.4448,                 3.9618,                 2.9766,                  4e-05,                0.01923,                0.00035,                  5e-05,                 3.5782,                 44.608,                 4.3596,              0.0059041,              0.0059041,              0.0059041
                     43,                 2.4312,                 3.9038,                 2.9504,                  4e-05,                0.01923,                0.00035,                  5e-05,                 3.3716,                 5.9128,                  5.572,              0.0058042,              0.0058042,              0.0058042
