                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.42132,                0.38243,                0.95757,                0.89603,                 0.8846,                0.94364,                0.83893,                0.56212,                0.53314,                 1.0623,                 0.0066,                 0.0066,                 0.0066
                     36,                 0.4149,                0.37208,                0.93969,                0.89652,                0.90255,                0.94752,                0.84941,                0.54111,                0.56746,                 1.0542,                 0.0065,                 0.0065,                 0.0065
                     37,                0.41947,                0.37631,                0.94875,                0.92785,                0.86446,                0.93702,                0.82997,                0.57267,                0.59261,                  1.102,                 0.0064,                 0.0064,                 0.0064
                     38,                0.40764,                0.35293,                0.93054,                0.93016,                 0.8803,                0.95121,                0.85287,                0.54769,                 0.5532,                 1.0869,                 0.0063,                 0.0063,                 0.0063
                     39,                0.43064,                0.36894,                0.96032,                0.85414,                0.86773,                0.93437,                0.83211,                0.58574,                0.61644,                 1.1046,                 0.0062,                 0.0062,                 0.0062
                     40,                0.42219,                0.35188,                0.94119,                0.90281,                0.85586,                0.95013,                0.84444,                0.57147,                0.58634,                 1.1013,                 0.0061,                 0.0061,                 0.0061
                     41,                0.40378,                 0.3488,                0.92845,                0.86462,                0.90071,                0.96085,                 0.8645,                0.54102,                0.51341,                 1.0682,                  0.006,                  0.006,                  0.006
                     42,                0.40223,                0.34991,                0.94077,                0.93822,                0.88315,                0.96954,                0.88905,                0.52407,                0.49928,                 1.0723,                 0.0059,                 0.0059,                 0.0059
                     43,                0.38019,                0.33017,                0.90714,                0.93199,                0.88147,                0.96735,                0.86389,                0.53575,                0.51443,                 1.0625,                 0.0058,                 0.0058,                 0.0058
                     44,                0.38607,                 0.3565,                0.92194,                0.93343,                0.86755,                0.95544,                0.85919,                 0.5578,                 0.5157,                  1.062,                 0.0057,                 0.0057,                 0.0057
                     45,                0.39636,                0.34344,                0.93054,                0.86426,                0.81386,                0.90874,                0.81733,                0.55879,                 0.6848,                 1.0934,                 0.0056,                 0.0056,                 0.0056
                     46,                0.37262,                0.33473,                0.91734,                  0.887,                0.88964,                0.95349,                0.86084,                0.53372,                0.54387,                 1.0696,                 0.0055,                 0.0055,                 0.0055
                     47,                0.37431,                0.33553,                0.91604,                0.91681,                0.86744,                0.95001,                0.85029,                0.55174,                0.55534,                 1.0883,                 0.0054,                 0.0054,                 0.0054
                     48,                0.37706,                0.33856,                0.92272,                0.89806,                0.88524,                0.94879,                0.85254,                0.53926,                0.49629,                 1.0635,                 0.0053,                 0.0053,                 0.0053
                     49,                 0.3751,                0.34528,                0.91228,                0.90986,                0.87577,                0.95593,                0.85138,                0.54154,                0.49538,                 1.0563,                 0.0052,                 0.0052,                 0.0052
                     50,                0.37542,                0.33335,                0.91081,                0.92051,                0.86779,                 0.9418,                 0.8531,                0.52352,                0.51304,                 1.0321,                 0.0051,                 0.0051,                 0.0051
                     51,                0.36434,                0.31655,                0.90133,                 0.9236,                0.85454,                0.94002,                0.85336,                0.49922,                0.48184,                 1.0402,              0.0050001,              0.0050001,              0.0050001
                     52,                0.36489,                0.31776,                0.91126,                0.90155,                0.84084,                0.94058,                0.85245,                0.50629,                0.58089,                 1.0369,              0.0049001,              0.0049001,              0.0049001
                     53,                0.37254,                 0.3252,                0.90659,                0.89791,                0.86624,                0.93225,                0.82588,                0.59334,                0.54594,                 1.1291,              0.0048001,              0.0048001,              0.0048001
                     54,                0.36414,                0.31905,                0.91016,                0.88944,                0.86968,                0.93282,                0.83939,                0.53125,                0.55187,                 1.0542,              0.0047001,              0.0047001,              0.0047001
                     55,                  0.351,                0.31738,                0.89874,                0.92017,                0.82928,                0.93232,                0.82568,                0.57064,                 0.5653,                 1.0749,              0.0046001,              0.0046001,              0.0046001
                     56,                 0.3506,                 0.3029,                0.88065,                0.88359,                0.92049,                0.95169,                0.86314,                0.50533,                0.46332,                 1.0407,              0.0045001,              0.0045001,              0.0045001
                     57,                0.34308,                0.28796,                0.89333,                0.88317,                0.86933,                0.94928,                0.85569,                 0.5439,                0.55223,                 1.0841,              0.0044001,              0.0044001,              0.0044001
                     58,                0.34403,                0.29881,                0.89664,                0.89454,                 0.9018,                0.94858,                0.86682,                0.51702,                0.49636,                 1.0715,              0.0043001,              0.0043001,              0.0043001
                     59,                0.33165,                0.29815,                 0.8867,                0.92592,                0.89736,                0.95606,                0.86485,                0.51054,                0.47037,                 1.0535,              0.0042001,              0.0042001,              0.0042001
                     60,                0.34933,                0.29298,                 0.8885,                0.93756,                0.87093,                0.95873,                  0.871,                0.51167,                0.46952,                 1.0509,              0.0041001,              0.0041001,              0.0041001
                     61,                0.33792,                0.28105,                0.88756,                0.89031,                0.91332,                0.95283,                 0.8666,                0.48914,                0.48149,                 1.0375,              0.0040001,              0.0040001,              0.0040001
                     62,                 0.3161,                0.27489,                0.88012,                0.92556,                 0.8678,                0.94769,                0.85828,                0.50304,                0.48189,                 1.0344,              0.0039001,              0.0039001,              0.0039001
                     63,                0.32855,                 0.2733,                0.87917,                0.90133,                0.86199,                0.94773,                0.86175,                 0.4987,                0.51719,                 1.0291,              0.0038001,              0.0038001,              0.0038001
                     64,                0.31572,                0.27612,                0.88915,                0.89009,                0.86917,                0.94506,                0.85556,                0.50619,                0.51482,                 1.0483,              0.0037001,              0.0037001,              0.0037001
                     65,                0.32865,                 0.2853,                0.89389,                0.90811,                0.91027,                0.95996,                0.87114,                 0.5119,                0.46542,                 1.0464,              0.0036001,              0.0036001,              0.0036001
