                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.98336,                 1.8065,                 1.2978,                0.49724,                0.56928,                0.60115,                0.45191,                 1.0732,                 1.7789,                 1.5443,              0.0067033,              0.0067033,              0.0067033
                     35,                 1.0042,                 1.7745,                 1.3089,                0.58966,                0.49738,                0.59181,                0.43036,                 1.1975,                   1.86,                 1.6911,              0.0066034,              0.0066034,              0.0066034
                     36,                0.97296,                 1.7819,                 1.2888,                0.35845,                0.52003,                0.51122,                0.38674,                 1.1547,                 2.1845,                 1.6807,              0.0065035,              0.0065035,              0.0065035
                     37,                0.93077,                 1.7354,                 1.2785,                0.50114,                0.65508,                0.66351,                0.53325,                0.95932,                 1.6804,                 1.4812,              0.0064036,              0.0064036,              0.0064036
                     38,                 0.9885,                 1.7509,                 1.3197,                0.55391,                0.58349,                0.64512,                0.51334,                0.92704,                 1.5797,                  1.461,              0.0063037,              0.0063037,              0.0063037
                     39,                0.91865,                 1.7472,                 1.2492,                0.45037,                0.67139,                0.60507,                0.46904,                0.96254,                 2.0137,                 1.4733,              0.0062038,              0.0062038,              0.0062038
                     40,                0.99904,                 1.7486,                 1.2948,                0.72672,                 0.5089,                0.68498,                0.50941,                 1.0737,                 1.9269,                 1.5791,              0.0061039,              0.0061039,              0.0061039
                     41,                0.95168,                 1.7141,                 1.2712,                0.52952,                0.60876,                0.69353,                0.56263,                0.95023,                 1.4971,                 1.4864,               0.006004,               0.006004,               0.006004
                     42,                0.93184,                 1.6795,                 1.2577,                0.60954,                0.52863,                0.63977,                0.49371,                 1.0446,                 1.6427,                 1.5427,              0.0059041,              0.0059041,              0.0059041
                     43,                0.91341,                 1.6135,                 1.2611,                0.49294,                0.68255,                0.69815,                0.53579,                 1.0358,                 1.5274,                 1.5144,              0.0058042,              0.0058042,              0.0058042
                     44,                0.91195,                 1.5369,                 1.2472,                0.57819,                0.67905,                0.72773,                0.58978,                0.83488,                 1.3408,                 1.3839,              0.0057043,              0.0057043,              0.0057043
                     45,                0.88724,                 1.5794,                 1.2388,                0.70221,                 0.6366,                0.71724,                0.57927,                 0.9053,                 1.4363,                 1.4111,              0.0056044,              0.0056044,              0.0056044
                     46,                0.91053,                 1.5834,                 1.2385,                0.54178,                0.67129,                0.67719,                0.55021,                0.91646,                 1.5871,                 1.4347,              0.0055045,              0.0055045,              0.0055045
                     47,                0.93057,                 1.5904,                 1.2683,                0.52819,                0.63934,                0.69363,                0.54174,                 1.0119,                 1.7556,                 1.5085,              0.0054046,              0.0054046,              0.0054046
                     48,                0.92097,                 1.5923,                 1.2783,                0.60044,                0.72174,                0.79474,                0.65612,                0.84803,                 1.2065,                 1.3562,              0.0053047,              0.0053047,              0.0053047
                     49,                0.90447,                 1.5688,                 1.2328,                0.57457,                0.74845,                0.75595,                0.60654,                0.86735,                 1.2999,                 1.3771,              0.0052048,              0.0052048,              0.0052048
                     50,                0.86612,                 1.4486,                 1.2131,                0.71439,                0.63381,                0.72506,                 0.5926,                0.89108,                 1.4316,                  1.422,              0.0051049,              0.0051049,              0.0051049
                     51,                0.89289,                 1.5891,                 1.2196,                0.75542,                0.58129,                0.72335,                0.58557,                0.84145,                  1.476,                 1.3491,               0.005005,               0.005005,               0.005005
                     52,                0.87384,                 1.4853,                 1.2213,                0.66425,                0.79814,                0.81013,                0.67377,                0.76376,                 1.1207,                 1.2891,              0.0049051,              0.0049051,              0.0049051
