                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7178,                 1.4111,                  1.134,                0.76039,                0.81976,                0.89586,                   0.78,                0.61229,                 1.0492,                 1.1356,               0.006634,               0.006634,               0.006634
                     36,                0.68072,                 1.3466,                 1.0963,                0.84614,                0.84933,                0.92867,                 0.8122,                0.58512,                0.92416,                 1.1213,               0.006535,               0.006535,               0.006535
                     37,                 0.6655,                 1.3162,                 1.1145,                0.80447,                0.77689,                0.90372,                0.78479,                 0.5977,                 1.0996,                 1.1326,               0.006436,               0.006436,               0.006436
                     38,                0.70545,                 1.2844,                 1.1303,                0.59346,                0.77852,                0.75524,                0.62857,                0.81507,                   1.51,                 1.3168,               0.006337,               0.006337,               0.006337
                     39,                0.67037,                 1.2499,                 1.0927,                 0.6946,                0.68493,                0.79474,                0.62708,                0.85131,                 1.4035,                 1.3837,               0.006238,               0.006238,               0.006238
                     40,                0.69484,                 1.2688,                 1.1148,                0.82581,                0.75981,                0.87312,                0.76803,                0.60849,                 1.0441,                 1.1657,               0.006139,               0.006139,               0.006139
                     41,                0.64893,                 1.2238,                 1.0807,                0.78607,                0.81099,                0.89483,                 0.7894,                0.59789,                 0.9828,                 1.1596,                0.00604,                0.00604,                0.00604
                     42,                0.65222,                 1.1943,                 1.0884,                0.79866,                0.86691,                0.91718,                0.79079,                0.61205,                0.91232,                 1.1749,               0.005941,               0.005941,               0.005941
                     43,                0.64482,                   1.19,                 1.0994,                0.91457,                0.70878,                0.89988,                0.77194,                0.64039,                0.98669,                 1.1836,               0.005842,               0.005842,               0.005842
                     44,                0.65998,                 1.1402,                  1.102,                0.78575,                0.84678,                 0.8842,                0.77576,                0.56756,                0.92486,                 1.1011,               0.005743,               0.005743,               0.005743
